=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
IDENTIFIER               	arr            	63	9
ASSIGN                   	=              	63	13
INT_LITERAL              	10             	63	15
MINUS_OPERATOR           	-              	63	18
IDENTIFIER               	arr            	63	20
LEFT_BLOCK               	¿              	63	23
INT_LITERAL              	67             	63	24
PLUS_OPERATOR            	+              	63	27
IDENTIFIER               	i              	63	29
INCREMENT                	++             	63	30
MINUS_OPERATOR           	-              	63	33
INT_LITERAL              	1              	63	35
PLUS_OPERATOR            	+              	63	37
INT_LITERAL              	4              	63	39
RIGHT_BLOCK              	?              	63	40
MULT_OPERATOR            	*              	63	42
IDENTIFIER               	func1          	63	44
LEFT_PAREN               	є              	63	51
CHAR_LITERAL             	'h'            	63	53
COMMA                    	,              	63	56
IDENTIFIER               	ola            	63	58
COMMA                    	,              	63	61
IDENTIFIER               	true           	63	63
COMMA                    	,              	63	67
STRING_LITERAL           	"hola mundo"   	63	69
COMMA                    	,              	63	81
FLOAT_LITERAL            	4.5            	63	83
COMMA                    	,              	63	86
CHAR_LITERAL             	'a'            	63	88
RIGHT_PAREN              	э              	63	92
DELIMITER                	$              	63	94
IDENTIFIER               	arr            	64	2
LEFT_BLOCK               	¿              	64	6
INT_LITERAL              	67             	64	8
RIGHT_BLOCK              	?              	64	11
ASSIGN                   	=              	64	13
FLOAT_LITERAL            	-0.01          	64	15
PLUS_OPERATOR            	+              	64	21
IDENTIFIER               	arr            	64	23
LEFT_BLOCK               	¿              	64	27
INT_LITERAL              	67             	64	29
RIGHT_BLOCK              	?              	64	32
DELIMITER                	$              	64	34
LET                      	let            	65	2
BOOL                     	bool           	65	6
IDENTIFIER               	b1             	65	11
DELIMITER                	$              	65	13
LET                      	let            	66	2
STRING                   	string         	66	6
IDENTIFIER               	s1             	66	13
DELIMITER                	$              	66	15
INPUT                    	input          	67	2
IDENTIFIER               	s1             	67	9
DELIMITER                	$              	67	13
