=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	2	2
STRING                   	string         	2	6
IDENTIFIER               	s1             	2	13
DELIMITER                	$              	2	15
FLOAT                    	float          	5	1
IDENTIFIER               	mi             	5	7
LEFT_PAREN               	є              	5	11
INT                      	int            	5	13
IDENTIFIER               	dif            	5	17
COMMA                    	,              	5	20
CHAR                     	char           	5	22
IDENTIFIER               	otra           	5	27
RIGHT_PAREN              	э              	5	34
LEFT_BLOCK               	¿              	5	36
LET                      	let            	8	2
INT                      	int            	8	6
IDENTIFIER               	otra           	8	10
DELIMITER                	$              	8	14
LET                      	let            	9	2
STRING                   	string         	9	6
IDENTIFIER               	str            	9	13
ASSIGN                   	=              	9	16
STRING_LITERAL           	"Hola $~&|?$& э  mundo"	9	17
DELIMITER                	$              	9	40
FOR                      	for            	10	2
LEFT_PAREN               	є              	10	6
LET                      	let            	10	8
INT                      	int            	10	12
IDENTIFIER               	i              	10	16
ASSIGN                   	=              	10	17
INT_LITERAL              	20             	10	18
DELIMITER                	$              	10	21
STEP                     	step           	10	23
INT_LITERAL              	-2             	10	28
DOWNTO                   	downto         	10	31
INT_LITERAL              	0              	10	38
RIGHT_PAREN              	э              	10	40
DO                       	do             	10	42
LEFT_BLOCK               	¿              	11	3
LOOP                     	loop           	12	3
IDENTIFIER               	var2           	13	6
ASSIGN                   	=              	13	11
IDENTIFIER               	var2           	13	13
MINUS_OPERATOR           	-              	13	18
INT_LITERAL              	1              	13	20
DELIMITER                	$              	13	21
IDENTIFIER               	var            	14	4
ASSIGN                   	=              	14	8
IDENTIFIER               	var            	14	10
MINUS_OPERATOR           	-              	14	14
INT_LITERAL              	1              	14	16
DELIMITER                	$              	14	17
EXIT                     	exit           	15	3
WHEN                     	when           	15	11
LEFT_PAREN               	є              	15	16
IDENTIFIER               	var2           	15	18
GREATER                  	>              	15	22
FLOAT_LITERAL            	12.2           	15	23
AND                      	@              	15	28
NOT                      	Σ              	15	30
LEFT_PAREN               	є              	15	32
INT_LITERAL              	12             	15	33
GREATER                  	>              	15	35
LEFT_PAREN               	є              	15	37
INT_LITERAL              	34             	15	39
PLUS_OPERATOR            	+              	15	41
INT_LITERAL              	35             	15	42
RIGHT_PAREN              	э              	15	45
RIGHT_PAREN              	э              	15	46
RIGHT_PAREN              	э              	15	49
DELIMITER                	$              	15	51
UNKNOWN                  	end            	16	3
LOOP                     	loop           	16	10
DELIMITER                	$              	16	14
DECIDE                   	decide         	19	3
UNKNOWN                  	of             	19	12
LEFT_PAREN               	є              	20	3
IDENTIFIER               	x24            	20	5
GREATER_EQUAL            	>=             	20	9
IDENTIFIER               	var            	20	12
MULT_OPERATOR            	*              	20	16
FLOAT_LITERAL            	5.6            	20	18
RIGHT_PAREN              	э              	20	22
LEFT_BLOCK               	¿              	21	4
OUTPUT                   	output         	22	4
STRING_LITERAL           	"entra al if"  	22	12
DELIMITER                	$              	22	26
RIGHT_BLOCK              	?              	23	4
UNKNOWN                  	end            	24	18
DECIDE                   	decide         	24	25
DELIMITER                	$              	24	34
DECIDE                   	decide         	25	3
UNKNOWN                  	of             	25	16
LEFT_PAREN               	є              	26	3
IDENTIFIER               	true           	26	5
RIGHT_PAREN              	э              	26	10
LEFT_BLOCK               	¿              	27	4
OUTPUT                   	output         	28	4
IDENTIFIER               	var            	28	12
DELIMITER                	$              	28	17
RIGHT_BLOCK              	?              	29	4
ELSE                     	else           	30	3
LEFT_BLOCK               	¿              	31	4
DECIDE                   	decide         	32	4
UNKNOWN                  	of             	32	11
LEFT_PAREN               	є              	33	6
IDENTIFIER               	otra           	33	8
EQUAL                    	==             	33	13
INT_LITERAL              	1              	33	16
RIGHT_PAREN              	э              	33	18
LEFT_BLOCK               	¿              	33	22
OUTPUT                   	output         	34	6
STRING_LITERAL           	"!|"           	34	14
DELIMITER                	$              	34	20
RIGHT_BLOCK              	?              	34	22
ELIF                     	elif           	35	5
LEFT_PAREN               	є              	35	10
IDENTIFIER               	otra           	35	12
EQUAL                    	==             	35	17
INT_LITERAL              	2              	35	20
RIGHT_PAREN              	э              	35	23
LEFT_BLOCK               	¿              	35	26
IDENTIFIER               	otra           	36	6
ASSIGN                   	=              	36	11
INT_LITERAL              	10             	36	13
DELIMITER                	$              	36	15
RIGHT_BLOCK              	?              	37	7
ELSE                     	else           	39	5
LEFT_BLOCK               	¿              	39	11
IDENTIFIER               	otra           	40	6
ASSIGN                   	=              	40	11
FLOAT_LITERAL            	-10.5          	40	13
MULT_OPERATOR            	*              	40	19
FLOAT_LITERAL            	-1.9           	40	21
DELIMITER                	$              	40	25
RIGHT_BLOCK              	?              	40	27
UNKNOWN                  	end            	41	41
DECIDE                   	decide         	41	45
DELIMITER                	$              	41	52
DECIDE                   	decide         	44	4
UNKNOWN                  	of             	44	11
LEFT_PAREN               	є              	45	5
IDENTIFIER               	otra2          	45	7
EQUAL                    	==             	45	13
INT_LITERAL              	10             	45	16
RIGHT_PAREN              	э              	45	20
LEFT_BLOCK               	¿              	45	22
