=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	2	2
OUTPUT                   	output         	46	6
STRING_LITERAL           	"un case"      	46	14
DELIMITER                	$              	46	24
RIGHT_BLOCK              	?              	46	26
UNKNOWN                  	end            	47	1
DECIDE                   	decide         	47	9
DELIMITER                	$              	47	21
RIGHT_BLOCK              	?              	48	4
UNKNOWN                  	end            	49	17
DECIDE                   	decide         	49	21
DELIMITER                	$              	49	28
RIGHT_BLOCK              	?              	51	3
RETURN                   	return         	52	2
INT_LITERAL              	1              	52	9
DELIMITER                	$              	52	10
RIGHT_BLOCK              	?              	53	3
BOOL                     	bool           	55	2
IDENTIFIER               	miOtraFun      	55	7
LEFT_PAREN               	є              	55	18
RIGHT_PAREN              	э              	55	21
LEFT_BLOCK               	¿              	55	25
RETURN                   	return         	56	2
FLOAT_LITERAL            	-5.6           	56	9
DELIMITER                	$              	56	13
RIGHT_BLOCK              	?              	57	3
VOID                     	void           	59	2
PRINCIPAL                	principal      	59	7
LEFT_PAREN               	є              	59	17
RIGHT_PAREN              	э              	59	19
LEFT_BLOCK               	¿              	59	22
IDENTIFIER               	arr            	60	9
ASSIGN                   	=              	60	13
INT_LITERAL              	10             	60	15
MINUS_OPERATOR           	-              	60	18
IDENTIFIER               	arr            	60	20
LEFT_BLOCK               	¿              	60	23
INT_LITERAL              	67             	60	24
PLUS_OPERATOR            	+              	60	27
IDENTIFIER               	i              	60	29
INCREMENT                	++             	60	30
MINUS_OPERATOR           	-              	60	33
INT_LITERAL              	1              	60	35
PLUS_OPERATOR            	+              	60	37
INT_LITERAL              	4              	60	39
RIGHT_BLOCK              	?              	60	40
MULT_OPERATOR            	*              	60	42
IDENTIFIER               	func1          	60	44
LEFT_PAREN               	є              	60	51
CHAR_LITERAL             	'h'            	60	53
COMMA                    	,              	60	56
IDENTIFIER               	ola            	60	58
COMMA                    	,              	60	61
IDENTIFIER               	true           	60	63
COMMA                    	,              	60	67
STRING_LITERAL           	"hola mundo"   	60	69
COMMA                    	,              	60	81
FLOAT_LITERAL            	4.5            	60	83
COMMA                    	,              	60	86
CHAR_LITERAL             	'a'            	60	88
RIGHT_PAREN              	э              	60	92
DELIMITER                	$              	60	94
IDENTIFIER               	arr            	61	2
LEFT_BLOCK               	¿              	61	6
INT_LITERAL              	67             	61	8
RIGHT_BLOCK              	?              	61	11
ASSIGN                   	=              	61	13
FLOAT_LITERAL            	-0.01          	61	15
PLUS_OPERATOR            	+              	61	21
IDENTIFIER               	arr            	61	23
LEFT_BLOCK               	¿              	61	27
INT_LITERAL              	67             	61	29
RIGHT_BLOCK              	?              	61	32
DELIMITER                	$              	61	34
LET                      	let            	62	2
BOOL                     	bool           	62	6
IDENTIFIER               	b1             	62	11
DELIMITER                	$              	62	13
LET                      	let            	63	2
STRING                   	string         	63	6
IDENTIFIER               	s1             	63	13
DELIMITER                	$              	63	15
INPUT                    	input          	64	2
IDENTIFIER               	s1             	64	9
DELIMITER                	$              	64	13
OUTPUT                   	output         	65	2
IDENTIFIER               	b1             	65	10
DELIMITER                	$              	65	14
OUTPUT                   	output         	66	2
IDENTIFIER               	true           	66	10
DELIMITER                	$              	66	16
OUTPUT                   	output         	67	2
FLOAT_LITERAL            	-6.7           	67	10
DELIMITER                	$              	67	16
RETURN                   	return         	68	2
DELIMITER                	$              	68	8
RETURN                   	return         	69	2
INT_LITERAL              	1              	69	9
PLUS_OPERATOR            	+              	69	10
IDENTIFIER               	f              	69	11
LEFT_PAREN               	є              	69	13
RIGHT_PAREN              	э              	69	16
DELIMITER                	$              	69	18
RIGHT_BLOCK              	?              	70	2
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
