=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
MINUS_OPERATOR           	-              	32	24
INT_LITERAL              	1              	32	26
MULT_OPERATOR            	*              	32	28
IDENTIFIER               	numero         	32	30
PLUS_OPERATOR            	+              	32	37
IDENTIFIER               	numero         	32	39
DELIMITER                	$              	32	46
OUTPUT                   	output         	33	2
IDENTIFIER               	numS           	33	10
DELIMITER                	$              	33	16
LET                      	let            	35	2
FLOAT                    	float          	35	6
IDENTIFIER               	z              	35	12
ASSIGN                   	=              	35	14
FLOAT_LITERAL            	-0.01          	35	15
DELIMITER                	$              	35	20
LET                      	let            	36	2
CHAR                     	char           	36	6
IDENTIFIER               	x22            	36	11
ASSIGN                   	=              	36	14
CHAR_LITERAL             	'a'            	36	15
DELIMITER                	$              	36	18
LET                      	let            	37	2
CHAR                     	char           	37	6
IDENTIFIER               	miChar         	37	11
ASSIGN                   	=              	37	17
CHAR_LITERAL             	'a'            	37	18
DELIMITER                	$              	37	21
LET                      	let            	38	2
CHAR                     	char           	38	6
IDENTIFIER               	miChar2        	38	11
ASSIGN                   	=              	38	18
CHAR_LITERAL             	'a'            	38	19
DELIMITER                	$              	38	22
LET                      	let            	39	2
INT                      	int            	39	6
IDENTIFIER               	x30            	39	10
ASSIGN                   	=              	39	13
INT_LITERAL              	-1             	39	14
DELIMITER                	$              	39	16
LET                      	let            	40	2
BOOL                     	bool           	40	6
IDENTIFIER               	x40            	40	11
ASSIGN                   	=              	40	14
IDENTIFIER               	false          	40	15
DELIMITER                	$              	40	20
LET                      	let            	41	2
CHAR                     	char           	41	6
IDENTIFIER               	x50            	41	11
LEFT_BLOCK               	¿              	41	14
INT_LITERAL              	1000           	41	15
RIGHT_BLOCK              	?              	41	19
ASSIGN                   	=              	41	21
LEFT_BLOCK               	¿              	41	23
INT_LITERAL              	4              	41	24
COMMA                    	,              	41	25
INT_LITERAL              	5              	41	26
RIGHT_BLOCK              	?              	41	27
DELIMITER                	$              	41	28
LET                      	let            	42	2
STRING                   	string         	42	6
IDENTIFIER               	x50            	42	13
ASSIGN                   	=              	42	16
STRING_LITERAL           	"Hola a todos los que est[a] haciendo un compilador nuevo¿n"	42	17
DELIMITER                	$              	42	77
DECIDE_OF                	decide of      	43	2
LEFT_PAREN               	є              	44	2
IDENTIFIER               	x22            	44	4
LESS_EQUAL               	<=             	44	7
INT_LITERAL              	45             	44	9
AND                      	@              	44	12
IDENTIFIER               	var            	44	14
GREATER                  	>              	44	17
FLOAT_LITERAL            	5.6            	44	18
RIGHT_PAREN              	э              	44	22
LEFT_BLOCK               	¿              	44	26
LET                      	let            	45	3
INT                      	int            	45	7
IDENTIFIER               	y              	45	11
DELIMITER                	$              	45	12
IDENTIFIER               	x22            	46	3
ASSIGN                   	=              	46	6
INT_LITERAL              	10             	46	7
DELIMITER                	$              	46	9
LET                      	let            	47	3
CHAR                     	char           	47	7
IDENTIFIER               	ch33           	47	12
ASSIGN                   	=              	47	16
CHAR_LITERAL             	'a'            	47	17
DELIMITER                	$              	47	20
RIGHT_BLOCK              	?              	48	3
ELIF                     	elif           	49	2
LEFT_PAREN               	є              	49	7
IDENTIFIER               	x24            	49	9
GREATER_EQUAL            	>=             	49	12
IDENTIFIER               	var            	49	14
GREATER                  	>              	49	17
FLOAT_LITERAL            	5.6            	49	18
RIGHT_PAREN              	э              	49	22
LEFT_BLOCK               	¿              	49	26
LET                      	let            	50	3
INT                      	int            	50	7
IDENTIFIER               	y              	50	11
DELIMITER                	$              	50	12
IDENTIFIER               	x22            	51	3
ASSIGN                   	=              	51	6
INT_LITERAL              	10             	51	7
DELIMITER                	$              	51	9
LET                      	let            	52	3
CHAR                     	char           	52	7
IDENTIFIER               	ch33           	52	12
ASSIGN                   	=              	52	16
